City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
664,Kalat,PK,81.23,clear sky,29.0225,66.5916,PHE Rest House
665,Dwarka,IN,88.23,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
668,Aswan,EG,88.84,clear sky,24.0934,32.907,Nuba Nile
669,Tual,ID,84.13,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
672,San Patricio,US,80.46,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
678,Mackay,AU,77.68,moderate rain,-21.15,149.2,International Lodge Motel
680,Akyab,MM,81.79,light rain,20.15,92.9,Hotel Memory
682,Kulhudhuffushi,MV,83.79,broken clouds,6.6221,73.07,Haajy Guest House 1
687,Kathu,TH,86.7,light rain,7.9178,98.3332,Novotel Phuket Resort
691,Bitung,ID,88.65,overcast clouds,1.4451,125.1824,K2 Lembeh
692,Trairi,BR,74.73,overcast clouds,-3.2778,-39.2689,janelas do mar
694,Hambantota,LK,85.3,broken clouds,6.1241,81.1185,Bungalow 63
695,Daloa,CI,72.57,overcast clouds,6.8774,-6.4502,Imans Hotel Daloa
700,Chhatak,BD,84.31,broken clouds,25.0333,91.6667,Hotel Sadi Internationl
